analysisptrid,From,To,Pointers,last_modifiedby,last_modified_date
1,0.18,0.22,0.18-0.22,1,now()
2,0.23,0.29,0.23-0.29,1,now()
3,0.30,0.39,0.30-0.39,1,now()
4,0.40,0.49,0.40-0.49,1,now()
5,0.50,0.59,0.50-0.59,1,now()
6,0.60,0.69,0.60-0.69,1,now()
7,0.70,0.79,0.70-0.79,1,now()
8,0.80,0.89,0.80-0.89,1,now()
9,0.90,0.99,0.90-0.99,1,now()
10,1.00,1.19,1.00-1.19,1,now()
11,1.20,1.29,1.20-1.29,1,now()
12,1.30,1.39,1.30-1.39,1,now()
13,1.40,1.44,1.40-1.44,1,now()
14,1.45,1.49,1.45-1.49,1,now()
15,1.50,1.69,1.50-1.69,1,now()
16,1.70,1.79,1.70-1.79,1,now()
17,1.80,1.96,1.80-1.96,1,now()
18,1.97,1.99,1.97-1.99,1,now()
19,2.00,2.20,2.00-2.20,1,now()
20,2.21,2.39,2.21-2.39,1,now()
21,2.40,2.49,2.40-2.49,1,now()
22,2.50,2.69,2.50-2.69,1,now()
23,2.70,2.79,2.70-2.79,1,now()
24,2.80,2.99,2.80-2.99,1,now()
25,3.00,3.20,3.00-3.20,1,now()
26,3.21,3.49,3.21-3.49,1,now()
27,3.50,3.69,3.50-3.69,1,now()
28,3.70,3.99,3.70-3.99,1,now()
29,4.00,4.20,4.00-4.20,1,now()
30,4.21,4.49,4.21-4.49,1,now()
31,4.50,4.69,4.50-4.69,1,now()
32,4.70,4.99,4.70-4.99,1,now()
33,5.00,5.20,5.00-5.20,1,now()
34,5.21,5.49,5.21-5.49,1,now()
35,5.50,5.69,5.50-5.69,1,now()
36,5.70,9.99,5.70-9.99,1,now()
